library	direction	term	n_genes	query_size	background_size	overlap_n	overlap_genes	p	adj_p
Longevity	hypermethylated	reactome_mtor_signaling	40	6368	33010	8	AKT2,EEF2K,EIF4G1,FKBP1A,RPTOR,STK11,STRADA,TSC2	0.5179699654738167	0.6592345015121303
Longevity	hypermethylated	reactome_transcriptional_activation_mitochondrial_biogenesis	49	6368	33010	8	CHD9,CREBBP,CRTC1,CRTC2,MEF2C,MEF2D,NR1D1,RXRA	0.7542519654628065	0.8481319963191952
Longevity	hypermethylated	reactome_lkb1_ampk_mtor_energy_regulation	28	6368	33010	4	RPTOR,STK11,STRADA,TSC2	0.8168129154989524	0.8481319963191952
Longevity	hypermethylated	reactome_mitochondrial_biogenesis	84	6368	33010	13	ATP5MC2,ATP5PB,CHCHD6,CHD9,CREBBP,CRTC1,CRTC2,MEF2C,MEF2D,MICOS10,NR1D1,RXRA,TMEM11	0.8481319963191951	0.8481319963191952
Longevity	hypomethylated	kegg_ampk_signaling	116	6052	33010	32	ACACA,ADIPOR1,ADRA1A,AKT3,CCNA1,CCND1,CD36,CFTR,CREB5,EIF4EBP1,FOXO3,IGF1,IGF1R,INSR,LEPR,PDPK1,PFKFB2,PFKP,PIK3CB,PIK3CD,PIK3R1,PPARGC1A,PPP2CB,PPP2R2B,PPP2R3A,PPP2R5A,PRKAG2,RAB11B,RAB2A,RPTOR,SREBF1,STRADB	0.009208659918280295	0.12892123885592413
Longevity	hypomethylated	go_positive_regulation_stem_cell_differentiation	17	6052	33010	7	PTN,SIRT6,SOX5,SOX6,TBX5,TCF15,TGFB2	0.02421039130760413	0.1694727391532289
Longevity	hypomethylated	kegg_foxo_signaling	126	6052	33010	26	AKT3,C8orf44-SGK3,CCND1,CCND2,CCNG2,EGF,EGFR,FOXO3,GRB2,GRM1,HOMER1,IGF1,IGF1R,IL6,INSR,MAPK10,MAPK13,NLK,PDPK1,PIK3CB,PIK3CD,PIK3R1,PRKAG2,SOS2,TGFB2,TNFSF10	0.28432770150128406	0.9285596317557795
Longevity	hypomethylated	kegg_pluripotency_stem_cell_signaling	139	6052	33010	28	AKT3,APC2,BMPR1B,COMMD3-BMI1,ESRRB,FGFR2,GRB2,IGF1,IGF1R,INHBB,JARID2,KAT6A,LEFTY1,LIFR,MAPK13,MEIS1,NODAL,PCGF3,PIK3CB,PIK3CD,PIK3R1,POU5F1,REST,SMAD2,SMAD9,WNT5B,WNT7A,ZFHX3	0.3223609882333715	0.9285596317557795
Longevity	hypomethylated	reactome_pluripotent_stem_cell_transcription	28	6052	33010	6	DPPA4,EPHA1,FOXP1,PBX1,SALL1,SMAD2	0.40935004848851153	0.9285596317557795
Longevity	hypomethylated	reactome_foxo_mediated_transcription	62	6052	33010	12	AKT3,CCNG2,FOXO3,HDAC1,NFYC,NPY,PLXNA4,PPARGC1A,SMAD2,SREBF1,YWHAG,YWHAZ	0.4687214560452812	0.9285596317557795
Longevity	hypomethylated	kegg_mtor_signaling	150	6052	33010	28	AKT3,ATP6V1C2,ATP6V1G1,DEPTOR,EIF4E,EIF4EBP1,FNIP2,GRB10,GRB2,IGF1,IGF1R,INSR,LPIN1,LRP5,PDPK1,PIK3CB,PIK3CD,PIK3R1,PRKCA,PRKCB,RPS6KA2,RPTOR,RRAGD,SOS2,STRADB,TBC1D7,WNT5B,WNT7A	0.4911945617034758	0.9285596317557795
Longevity	hypomethylated	go_negative_regulation_stem_cell_differentiation	12	6052	33010	2	REST,TCF15	0.6749627050866804	0.9285596317557795
Longevity	hypomethylated	reactome_transcriptional_activation_mitochondrial_biogenesis	49	6052	33010	8	CAMK4,CHD9,MEF2C,MEF2D,NRF1,PPARGC1A,TBL1XR1,TFB2M	0.6982156589062679	0.9285596317557795
Longevity	hypomethylated	reactome_mtor_signaling	40	6052	33010	6	EIF4E,EIF4EBP1,PRKAG2,RPTOR,RRAGD,STRADB	0.7671924027417643	0.9285596317557795
Longevity	hypomethylated	reactome_lkb1_ampk_mtor_energy_regulation	28	6052	33010	4	PRKAG2,RPTOR,RRAGD,STRADB	0.7816970020509926	0.9285596317557795
Longevity	hypomethylated	reactome_telomere_extension_by_telomerase	22	6052	33010	3	CCNA1,SHQ1,TERF2IP	0.7959312919158249	0.9285596317557795
Longevity	hypomethylated	reactome_mitochondrial_biogenesis	84	6052	33010	12	ATP5MG,CAMK4,CHCHD6,CHD9,MEF2C,MEF2D,MICOS10,NRF1,PPARGC1A,PRKAG2,TBL1XR1,TFB2M	0.8664580877955393	0.9285596317557795
Longevity	hypomethylated	reactome_telomere_maintenance	85	6052	33010	11	CCNA1,CHTF18,H2BC17,H2BC5,LRIG1,POLR2B,PRIM1,RFC4,SHQ1,SLC19A1,TERF2IP	0.9285596317557796	0.9285596317557795
